ID,Country,City,School,City Confidence,Notes,Source Page
1,Afghanistan,Kabul,International School Kabul,High,,f_pak
2,Albania,Durres,Albanian College Durress,High,Source typo: Durress -> Durres,f_pak
3,Albania,Tirana,Albanian College Tirana,High,,f_pak
4,Albania,Tirana,Albanian International School,Medium,,f_pak
5,Albania,Tirana,British School Tirana,High,,f_pak
6,Albania,Tirana,Kings Tirana,High,,f_pak
7,Albania,Tirana,Memorial International School Tirana,High,,f_pak
8,Albania,Tirana,World Academy Tirana,High,,f_pak
9,Algeria,Algiers,British Campus Algeria,Medium,,f_pak
10,Algeria,Algiers,British School Algiers,High,,f_pak
11,Angola,Luanda,American Schools Angola,Medium,,f_pak
12,Angola,Luanda,Luanda International School,High,,f_pak
13,Argentina,Buenos Aires,"Lincoln, The American International School",High,"Campus in La Lucila, Greater Buenos Aires",f_pak
14,Argentina,Quilmes,St. George's College Quilmes,High,Greater Buenos Aires,f_pak
15,Armenia,Yerevan,CIS Armenia International School,Medium,,f_pak
16,Armenia,Yerevan,QSI International School of Yerevan,High,,f_pak
17,Australia,Darwin,Essington School Darwin,High,,f_pak
18,Australia,Perth,International School Perth,High,,f_pak
19,Australia,Kilmore,Kilmore International School,High,Victoria,f_pak
20,Austria,Vienna,Amadeus International School,High,,f_pak
21,Austria,Vienna,American International School Vienna,High,,f_pak
22,Austria,Vienna,Danube International School,High,,f_pak
23,Austria,St. Gilgen,St. Gilgen International School,High,,f_pak
24,Austria,Vienna,Vienna European School,High,,f_pak
25,Austria,Vienna,Vienna International School,High,,f_pak
26,Azerbaijan,Baku,Azerbaijan British College,Medium,,f_pak
27,Azerbaijan,Baku,Baku International School,High,,f_pak
28,Azerbaijan,Baku,Baku Modern School,High,,f_pak
29,Azerbaijan,Baku,British School in Baku,High,,f_pak
30,Azerbaijan,Baku,European Azerbaijan School,High,,f_pak
31,Azerbaijan,Baku,International School Azerbaijan,High,,f_pak
32,Azerbaijan,Baku,School No. 6 Baku,High,,f_pak
33,Bahamas,Andros Town,AUTEC School,Medium,"AUTEC naval base, Andros Island",f_pak
34,Bahamas,Freeport,Lucaya International School,High,Grand Bahama,f_pak
35,Bahamas,Nassau,Lyford Cay International School,High,,f_pak
36,Bahamas,Nassau,Queens College,High,,f_pak
37,Bahamas,Nassau,St. Andrew's Nassau,High,,f_pak
38,Bahrain,Manama,Abdul Rahman Kanoo International School,Medium,Salmabad area,f_pak
39,Bahrain,Riffa,Al Hekma School,Medium,,f_pak
40,Bahrain,Manama,Al Raja School,High,,f_pak
41,Bahrain,Manama,Al Salam School,Low,,f_pak
42,Bahrain,Riffa,American School Bahrain,Medium,,f_pak
43,Bahrain,Isa Town,Bahrain Bayan School,High,,f_pak
44,Bahrain,Manama,Beacon Private School,Medium,,f_pak
45,Bahrain,Hamala,British School Bahrain,Medium,"Nord Anglia; campus in Hamala, near Manama",f_pak
46,Bahrain,Manama,Capital School Bahrain,Medium,Bu Quwah,f_pak
47,Bahrain,Manama,EtonHouse Bahrain,Low,,f_pak
48,Bahrain,Isa Town,Ibn Khuldoon National School,High,,f_pak
49,Bahrain,Manama,Modern Knowledge School,Medium,Juffair,f_pak
50,Bahrain,Manama,Multinational School Bahrain,Medium,Adliya,f_pak
51,Bahrain,Manama,Nadeen School Bahrain,Medium,Moved to Dilmunia Island (Muharraq),f_pak
52,Bahrain,Riffa,Naseem International School,Medium,,f_pak
53,Bahrain,Riffa,Riffa Views International School,High,,f_pak
54,Bahrain,Saar,St. Christopher's School,Medium,Two campuses: Saar and Isa Town,f_pak
55,Bahrain,Manama,Talent International & The Infant School,Medium,Salihiya,f_pak
56,Bangladesh,Dhaka,American International School Dhaka,High,,f_pak
57,Bangladesh,Dhaka,Australian International School,Medium,,f_pak
58,Bangladesh,Dhaka,Canadian International School Bangladesh,High,,f_pak
59,Bangladesh,Dhaka,Canadian Trillinium School Dhaka,High,,f_pak
60,Bangladesh,Dhaka,Hazrat Shah Taj Uddin Qureshi R High,Low,Could not identify school; capital given,f_pak
61,Bangladesh,Dhaka,International School Dhaka,High,,f_pak
62,Bangladesh,Dhaka,"Mallick Preparatory School, Bangladesh",Medium,,f_pak
63,Bangladesh,Gazipur,Pledge Harbor School and Sports Academy,Medium,Outside Dhaka,f_pak
64,Bangladesh,Dhaka,Smart Innovations School,Low,,f_pak
65,Bangladesh,Dhaka,The Laurels Dhaka,High,,f_pak
66,Barbados,St. John,The Codrington School,Medium,St. John parish; nearest city Bridgetown,f_pak
67,Belarus,Minsk,QSI International School of Minsk,High,,f_pak
68,Belgium,Antwerp,Antwerp International School,High,,f_pak
69,Belgium,Brussels,Bogaerts International School,High,Uccle,f_pak
70,Belgium,Tervuren,British School of Brussels,High,Near Brussels,f_pak
71,Belgium,Brussels,International School Brussels,High,,f_pak
72,Belgium,Brussels,Montgomery International School Brussels,High,,f_pak
73,Belgium,Waterloo,St John's International School,High,,f_pak
74,Bermuda,Hamilton,Saltus Grammar School,High,,f_pak
75,Bermuda,Hamilton,Somersfield Academy,Medium,Devonshire parish,f_pak
76,Bolivia,La Paz,American Cooperative School La Paz,High,,f_pak
77,Bolivia,Cochabamba,American International School Bolivia,High,,f_pak
78,Bolivia,Cochabamba,Cochabamba Cooperative School,High,,f_pak
79,Bolivia,Santa Cruz de la Sierra,Santa Cruz Cooperative School,High,,f_pak
80,Bolivia,Santa Cruz de la Sierra,Santa Cruz International School,High,,f_pak
81,Botswana,Gaborone,Enko Botho Campus,High,,f_pak
82,Botswana,Gaborone,Westwood International School,High,,f_pak
83,Brazil,Belo Horizonte,American School of Belo Horizonte-EABH,High,Campus in Nova Lima,f_pak
84,Brazil,Brasilia,American School of Brasilia,High,,f_pak
85,Brazil,Sao Paulo,British College Brazil,High,,f_pak
86,Brazil,Brasilia,British School Brasilia,High,,f_pak
87,Brazil,Rio de Janeiro,British School of Rio de Janeiro,High,,f_pak
88,Brazil,Sao Paulo,Chapel School,High,,f_pak
89,Brazil,Campinas,Escola Americana de Campinas,High,,f_pak
90,Brazil,Recife,Escola Americana de Recife,High,,f_pak
91,Brazil,Rio de Janeiro,Escola Americana do Rio de Janeiro,High,,f_pak
92,Brazil,Sao Paulo,Escola Beit Yaacov,High,,f_pak
93,Brazil,Sao Paulo,Graded School Sao Paulo,High,,f_pak
94,Brazil,Curitiba,International School Curitiba,High,,f_pak
95,Brazil,Macae,International School of Macae,High,,f_pak
