SCHOOL_ID,GLOBAL_ID,SCHOOL_NAME,SCHOOL_TYPE,ADDRESS_FULL,CITY,STATE_PROVINCE,COUNTRY,LATITUDE,LONGITUDE,ENROLLMENT_SIZE,GRADE_LEVELS,CURRICULUM_TYPE,CONTACT_EMAIL,WEBSITE,CREATED_DATE,LAST_MODIFIED
SCH001,08f83901-5536-49e4-b044-6a5629a5d9d8,American School of Dubai,International School,"Dubai, United Arab Emirates",Dubai,Dubai,United Arab Emirates,25.21122,55.26088,1600,K-12,Canadian,info@sch001.6degrees.demo,https://www.sch001.6degrees.demo,2026-06-07,2026-06-07
SCH002,40c90470-b644-4bef-8515-d2399edad055,GEMS World Academy Dubai,International School,"Dubai, United Arab Emirates",Dubai,Dubai,United Arab Emirates,25.20368,55.28178,600,Nursery-13,Combined IB/American,info@sch002.6degrees.demo,https://www.sch002.6degrees.demo,2026-06-07,2026-06-07
SCH003,050a467b-e50b-47e7-9dea-4677894a66bd,Dubai International Academy,International School,"Dubai, United Arab Emirates",Dubai,Dubai,United Arab Emirates,25.19639,55.27333,800,PK-12,Canadian,info@sch003.6degrees.demo,https://www.sch003.6degrees.demo,2026-06-07,2026-06-07
SCH004,52ae0e01-1b32-4ab2-b618-e68599891676,Dubai American Academy,International School,"Dubai, United Arab Emirates",Dubai,Dubai,United Arab Emirates,25.20111,55.2722,1600,PK-12,IB,info@sch004.6degrees.demo,https://www.sch004.6degrees.demo,2026-06-07,2026-06-07
SCH005,60a419d3-b937-43ac-9c16-a9a8e46db1a6,The British School Al Khubairat,International School,"Abu Dhabi, United Arab Emirates",Abu Dhabi,Abu Dhabi,United Arab Emirates,24.44145,54.37535,600,PK-12,Canadian,info@sch005.6degrees.demo,https://www.sch005.6degrees.demo,2026-06-07,2026-06-07
SCH006,23f3c418-b18c-4ea6-bbb2-04fc4cff86ae,American Community School of Abu Dhabi,International School,"Abu Dhabi, United Arab Emirates",Abu Dhabi,Abu Dhabi,United Arab Emirates,24.45466,54.39151,450,Nursery-13,Combined IB/American,info@sch006.6degrees.demo,https://www.sch006.6degrees.demo,2026-06-07,2026-06-07
SCH007,7ad53acb-07c6-416e-be9f-b6810d8d7fa3,NIST International School,International School,"Bangkok, Thailand",Bangkok,Bangkok,Thailand,13.77531,100.51781,1900,PK-12,Combined IB/American,info@sch007.6degrees.demo,https://www.sch007.6degrees.demo,2026-06-07,2026-06-07
SCH008,640c46e6-0964-4cd1-aff6-a095d0bf6cc6,International School Bangkok,International School,"Bangkok, Thailand",Bangkok,Bangkok,Thailand,13.7367,100.48886,800,K-12,Combined IB/American,info@sch008.6degrees.demo,https://www.sch008.6degrees.demo,2026-06-07,2026-06-07
SCH009,2045bda4-ffc2-43de-9b09-f006a0297666,Bangkok Patana School,International School,"Bangkok, Thailand",Bangkok,Bangkok,Thailand,13.74628,100.49637,450,PK-12,American (AP),info@sch009.6degrees.demo,https://www.sch009.6degrees.demo,2026-06-07,2026-06-07
SCH010,1e1fce90-0580-4811-911c-66a58579825d,Singapore American School,International School,"Singapore, Singapore",Singapore,Singapore,Singapore,1.34924,103.80621,950,K-12,American (AP),info@sch010.6degrees.demo,https://www.sch010.6degrees.demo,2026-06-07,2026-06-07
SCH011,9bad6458-67de-405b-8869-a6fcfb3906c9,United World College of South East Asia,International School,"Singapore, Singapore",Singapore,Singapore,Singapore,1.35067,103.82496,450,K-12,Canadian,info@sch011.6degrees.demo,https://www.sch011.6degrees.demo,2026-06-07,2026-06-07
