ASSIGNMENT_ID,GLOBAL_ID,TEACHER_ID,SCHOOL_ID,POSITION_TITLE,SUBJECTS_TAUGHT,GRADE_LEVELS_TAUGHT,START_DATE,END_DATE,EMPLOYMENT_TYPE,SALARY_RANGE,SUPERVISOR_NAME,DEPARTMENT,IS_CURRENT_POSITION,CREATED_DATE,LAST_MODIFIED
ASG0001,d039c751-c0ba-4bb8-878e-bc28b2ecd8e3,T001,SCH007,Head of Department,Physics,Grades K-5,2011-08-01,2015-06-30,Full-time,,,Science,No,2026-06-07,2026-06-07
ASG0002,33fce273-6c5d-44c6-a17d-bab08a798bcb,T001,SCH001,Head of Department,Physics,PK-K,2015-08-01,2019-06-30,Full-time,,,Science,No,2026-06-07,2026-06-07
ASG0003,e01bdb9b-241d-49dc-bede-b89972919656,T001,SCH010,Vice Principal,Administration,PK-K,2019-08-01,,Part-time,,,School Leadership,Yes,2026-06-07,2026-06-07
ASG0004,d21157e3-d049-4fbd-98ef-46759648b4b6,T002,SCH001,Teacher,Mathematics,Grades 9-10,2017-08-01,2021-06-30,Full-time,,,Mathematics,No,2026-06-07,2026-06-07
ASG0005,2865c1e4-6030-4995-9bda-410169ddf778,T002,SCH024,Head of Department,Mathematics,Grades 9-12,2021-08-01,,Part-time,,,Mathematics,Yes,2026-06-07,2026-06-07
ASG0006,401aa303-1593-4d79-8374-da9fcbc23129,T003,SCH001,Teacher,Biology,Grades 6-8,2010-08-01,2014-06-30,Full-time,,,Science,No,2026-06-07,2026-06-07
ASG0007,da0822db-626e-4547-b2e3-15b7e915d572,T003,SCH027,Subject Coordinator,Biology,Grades 9-10,2014-08-01,2018-06-30,Full-time,,,Science,No,2026-06-07,2026-06-07
ASG0008,b4d59728-1f10-48fb-9317-59e2d697fa05,T004,SCH002,Teacher,Chemistry,Grades K-5,2016-08-01,2020-06-30,Part-time,,,Science,No,2026-06-07,2026-06-07
ASG0009,b7cd528f-ec78-46f9-a140-2c30d8cf84ff,T004,SCH013,Head of Department,Chemistry,Grades K-5,2020-08-01,,Full-time,,,Science,Yes,2026-06-07,2026-06-07
ASG0010,8c98e216-12d7-4d3d-99c6-0486bdf61a66,T005,SCH003,Teacher,English,PK-K,2011-08-01,2014-06-30,Full-time,,,English,No,2026-06-07,2026-06-07
ASG0011,01178fd3-343c-40d5-9ea0-0bfa1098cab5,T005,SCH025,Curriculum Coordinator,English,Grades K-5,2014-08-01,2019-06-30,Full-time,,,English,No,2026-06-07,2026-06-07
ASG0012,37083f71-df15-42bd-bc50-a09780b7eea6,T006,SCH005,Teacher,Economics,PK-K,2016-08-01,2019-06-30,Full-time,,,Humanities,No,2026-06-07,2026-06-07
ASG0013,be45a8fa-6b2c-4d57-a9e8-cf0efe40a35b,T006,SCH033,Head of Department,Economics,PK-K,2019-08-01,,Part-time,,,Humanities,Yes,2026-06-07,2026-06-07
ASG0014,c5a787a9-5f0a-466c-a008-a8a782b221e6,T007,SCH006,Teacher,History,Grades 6-8,2009-08-01,2012-06-30,Full-time,,,Humanities,No,2026-06-07,2026-06-07
ASG0015,73fe68d0-de1e-476e-888d-d05fd4b3907e,T007,SCH029,Dean of Students,Dean of Students,Grades 6-12,2012-08-01,2016-06-30,Full-time,,,Humanities,No,2026-06-07,2026-06-07
ASG0016,0f53c0f9-b171-4171-9c35-8cba77afdc53,T008,SCH035,Teacher,Visual Arts,PK-K,2016-08-01,2021-06-30,Full-time,,,Arts,No,2026-06-07,2026-06-07
ASG0017,d6d27698-0b4c-4e7e-a31e-5019dbb94f3d,T008,SCH010,Subject Coordinator,Visual Arts,Grades 6-12,2021-08-01,,Full-time,,,Arts,Yes,2026-06-07,2026-06-07
ASG0018,435e3278-aa63-4dfa-911e-2153a44ce60e,T009,SCH035,Teacher,Spanish,Grades K-5,2017-08-01,2021-06-30,Part-time,,,Languages,No,2026-06-07,2026-06-07
ASG0019,d4c8cc5f-33a0-4812-b56d-ae32813e68a2,T009,SCH036,Head of Department,Spanish,Grades 11-12,2021-08-01,,Full-time,,,Languages,Yes,2026-06-07,2026-06-07
ASG0020,c7a22271-1183-4425-b2af-7487cc50f396,T010,SCH037,Teacher,Geography,Grades 6-12,2017-08-01,2021-06-30,Full-time,,,Humanities,No,2026-06-07,2026-06-07
ASG0021,bdcf81fb-5627-415b-b88e-d0ddb7fe8c0b,T010,SCH036,Teacher,Geography,Grades 6-12,2021-08-01,,Full-time,,,Humanities,Yes,2026-06-07,2026-06-07
ASG0022,e5f78d97-64bc-4618-a23b-444ffd7deed1,T011,SCH009,Senior Teacher,Physical Education,PK-K,2007-08-01,2011-06-30,Full-time,,,Physical Education & Health,No,2026-06-07,2026-06-07
ASG0023,a15bab24-d679-4305-b2d5-f062d58672c6,T011,SCH014,Teacher,Music,PK-K,2012-08-01,2016-06-30,Part-time,,,Arts,No,2026-06-07,2026-06-07
ASG0024,d98c85b6-545b-415a-9752-1925a74c7dc0,T011,SCH023,Teacher,Physical Education,Grades 9-10,2016-08-01,2020-06-30,Part-time,,,Physical Education & Health,No,2026-06-07,2026-06-07
ASG0025,bf68053d-4c63-4698-a024-aaa432b9b5f6,T011,SCH031,Head of Department,Physical Education,Grades 9-12,2021-08-01,2023-06-30,Full-time,,,Physical Education & Health,No,2026-06-07,2026-06-07
ASG0026,29f60243-0134-4a8a-9ba0-4321b6c63b30,T012,SCH010,Teacher,Physical Education,PK-K,2022-08-01,2025-06-30,Full-time,,,Physical Education & Health,No,2026-06-07,2026-06-07
